Player,Positions,Team,Multiplier,Overall,Franchise,Rookie,Tradeable,Salary,Collection,Status,Expires
"Rhamondre Stevenson","Rb","NE","1.4","90","No","No","Yes","7980","2025 Core","Active","2027-02-08"
"Zay Flowers","Wr","BAL","1.5","114","No","No","Yes","9600","2025 Core","Active","2027-02-08"
"Tez Johnson","Wr","TB","1.3","46","No","No","Yes","4030","2025 Core","Active","2027-02-08"
"Dallas Goedert","Te","PHI","1.1","66","No","No","Yes","4510","2025 Core","Active","2027-02-08"
"Luther Burden III","Wr","CHI","1","60","No","No","Yes","5500","2025 Core","Active","2027-02-08"
"Justin Herbert","Qb","LAC","1.3","96","No","No","Yes","7930","2025 Core","Active","2026-12-25"
"Khalil Shakir","Wr","BUF","1.5","94","No","No","No","7200","2025 Core","Active","2026-12-25"
"Davis Allen","Te","LAR","1.2","34","No","No","No","3000","2025 Core","Active","2026-12-25"
"Adonai Mitchell","Wr","NYJ","1.3","43","No","No","No","5200","2025 Core","Active","2026-12-25"
"Pat Freiermuth","Te","PIT","1.4","49","No","No","No","4760","2025 Core","Active","2026-12-25"
"Justice Hill","Rb","BAL","1.4","53","No","No","No","5880","2026 Core","Active","2027-08-10"
"Joe Burrow","Qb","CIN","1","92","No","No","Yes","6900","2025 Core","Active","2026-12-25"
"George Kittle","Te","SF","1.4","119","No","No","Yes","6720","2025 Core","Active","2026-12-25"
"Matthew Golden","Wr","GB","1.4","85","No","No","Yes","6580","2025 Core","Active","2026-12-25"
"Terry McLaurin","Wr","WAS","1.2","94","No","No","Yes","6840","2025 Core","Active","2026-12-25"
"Drake Maye","Qb","NE","1.3","110","Yes","No","Yes","7800","2025 Core","Listed","N/A"
